"MSN","StateCode","Data","Description","Unit"
"P1TXD","NM",11.57335275,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" average price, all end-use sectors.","Dollars per million Btu"
"P1TXD","TX",15.99977276,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" average price, all end-use sectors.","Dollars per million Btu"
"P1TXP","AZ",3979.66082,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use consumption.","Thousand barrels"
"P1TXP","CA",52366.89363,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use consumption.","Thousand barrels"
"P1TXP","NM",4151.66074,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use consumption.","Thousand barrels"
"P1TXP","TX",213652.9146,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use consumption.","Thousand barrels"
"P1TXV","AZ",293.17573,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use expenditures.","Million dollars"
"P1TXV","CA",1878.6498,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use expenditures.","Million dollars"
"P1TXV","NM",139.73954,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use expenditures.","Million dollars"
"P1TXV","TX",10115.81377,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, and ""other petroleum products"" total end-use expenditures.","Million dollars"
"P5RFB","AZ",190.99214,"Other petroleum products (SG and PC consumed as process fuel and AB, MB, PP, and UO consumed as intermediate products).","Billion Btu"
"P5RFB","CA",210281.5529,"Other petroleum products (SG and PC consumed as process fuel and AB, MB, PP, and UO consumed as intermediate products).","Billion Btu"
"P5RFB","NM",13768.85627,"Other petroleum products (SG and PC consumed as process fuel and AB, MB, PP, and UO consumed as intermediate products).","Billion Btu"
"P5RFB","TX",592476.5287,"Other petroleum products (SG and PC consumed as process fuel and AB, MB, PP, and UO consumed as intermediate products).","Billion Btu"
"POICB","AZ",2170.51386,"Other petroleum products consumed by the industrial sector.","Billion Btu"
"POICB","CA",223708.3027,"Other petroleum products consumed by the industrial sector.","Billion Btu"
"POICB","NM",13793.49038,"Other petroleum products consumed by the industrial sector.","Billion Btu"
"POICB","TX",1137066.227,"Other petroleum products consumed by the industrial sector.","Billion Btu"
"POICD","AZ",16.70633,"Other petroleum products average price in the industrial sector.","Dollars per million Btu"
"POICD","CA",17.67449,"Other petroleum products average price in the industrial sector.","Dollars per million Btu"
"POICD","NM",24.35241,"Other petroleum products average price in the industrial sector.","Dollars per million Btu"
"POICD","TX",15.64675,"Other petroleum products average price in the industrial sector.","Dollars per million Btu"
"POICP","AZ",401.46304,"Other petroleum products consumed by the industrial sector.","Thousand barrels"
"POICP","CA",37469.74944,"Other petroleum products consumed by the industrial sector.","Thousand barrels"
"POICP","NM",2293.84513,"Other petroleum products consumed by the industrial sector.","Thousand barrels"
"POICP","TX",200004.9414,"Other petroleum products consumed by the industrial sector.","Thousand barrels"
"POICV","AZ",33.07054,"Other petroleum products total expenditures in the industrial sector.","Million dollars"
"POICV","CA",237.31098,"Other petroleum products total expenditures in the industrial sector.","Million dollars"
"POICV","NM",0.5999,"Other petroleum products total expenditures in the industrial sector.","Million dollars"
"POICV","TX",8521.05794,"Other petroleum products total expenditures in the industrial sector.","Million dollars"
"POTCB","AZ",2170.51386,"Other petroleum products total consumption.","Billion Btu"
"POTCB","CA",241429.5252,"Other petroleum products total consumption.","Billion Btu"
"POTCB","NM",13793.49038,"Other petroleum products total consumption.","Billion Btu"
"POTCB","TX",1152425.499,"Other petroleum products total consumption.","Billion Btu"
"POTCD","AZ",16.70633,"Other petroleum products average price, all sectors.","Dollars per million Btu"
"POTCD","CA",8.50457,"Other petroleum products average price, all sectors.","Dollars per million Btu"
"POTCD","NM",24.35241,"Other petroleum products average price, all sectors.","Dollars per million Btu"
"POTCD","TX",15.2524,"Other petroleum products average price, all sectors.","Dollars per million Btu"
"POTCP","AZ",401.46304,"Other petroleum products total consumption.","Thousand barrels"
"POTCP","CA",40411.51944,"Other petroleum products total consumption.","Thousand barrels"
"POTCP","NM",2293.84513,"Other petroleum products total consumption.","Thousand barrels"
"POTCP","TX",202554.6214,"Other petroleum products total consumption.","Thousand barrels"
"POTCV","AZ",33.07054,"Other petroleum products total expenditures.","Million dollars"
"POTCV","CA",264.90009,"Other petroleum products total expenditures.","Million dollars"
"POTCV","NM",0.5999,"Other petroleum products total expenditures.","Million dollars"
"POTCV","TX",8540.56422,"Other petroleum products total expenditures.","Million dollars"
"POTXB","AZ",2170.51386,"Other petroleum products total end-use consumption.","Billion Btu"
"POTXB","CA",223708.3027,"Other petroleum products total end-use consumption.","Billion Btu"
"POTXB","NM",13793.49038,"Other petroleum products total end-use consumption.","Billion Btu"
"POTXB","TX",1137066.227,"Other petroleum products total end-use consumption.","Billion Btu"
"POTXD","AZ",16.70633,"Other petroleum products average price, all end-use sectors.","Dollars per million Btu"
"POTXD","CA",17.67449,"Other petroleum products average price, all end-use sectors.","Dollars per million Btu"
"POTXD","NM",24.35241,"Other petroleum products average price, all end-use sectors.","Dollars per million Btu"
"POTXD","TX",15.64675,"Other petroleum products average price, all end-use sectors.","Dollars per million Btu"
"POTXP","AZ",401.46304,"Other petroleum products total end-use consumption.","Thousand barrels"
"POTXP","CA",37469.74944,"Other petroleum products total end-use consumption.","Thousand barrels"
"POTXP","NM",2293.84513,"Other petroleum products total end-use consumption.","Thousand barrels"
"POTXP","TX",200004.9414,"Other petroleum products total end-use consumption.","Thousand barrels"
"POTXV","AZ",33.07054,"Other petroleum products total end-use expenditures.","Million dollars"
"POTXV","CA",237.31098,"Other petroleum products total end-use expenditures.","Million dollars"
"POTXV","NM",0.5999,"Other petroleum products total end-use expenditures.","Million dollars"
"POTXV","TX",8521.05794,"Other petroleum products total end-use expenditures.","Million dollars"
